cellIndex	x	y	z	vol	b	h0	material	xNum	yNum	zNum	xInc	yInc	zInc	xStep	yStep	zStep
1	0.683012702	0.05	85.73651497	1	1	0	24	1	1	1	0	0	0	1	1	1
2	1.183012702	0.05	84.87048957	1	1	0	24	1	1	1	0	0	0	1	1	1
3	1.683012702	0.05	84.00446417	1	1	0	24	1	1	1	0	0	0	1	1	1
4	2.183012702	0.05	83.13843876	1	1	0	43	1	1	1	0	0	0	1	1	1
5	2.683012702	0.05	82.27241336	1	1	0	28	1	1	1	0	0	0	1	1	1
6	3.183012702	0.05	81.40638796	1	1	0	28	1	1	1	0	0	0	1	1	1
7	3.683012702	0.05	80.54036255	1	1	0	28	1	1	1	0	0	0	1	1	1
8	4.183012702	0.05	79.67433715	1	1	0	28	1	1	1	0	0	0	1	1	1
9	4.683012702	0.05	78.80831174	1	1	0	19	1	1	1	0	0	0	1	1	1
10	5.183012702	0.05	77.94228634	1	1	0	19	1	1	1	0	0	0	1	1	1
11	5.683012702	0.05	77.07626094	1	1	0	19	1	1	1	0	0	0	1	1	1
12	6.183012702	0.05	76.21023553	1	1	0	19	1	1	1	0	0	0	1	1	1
13	6.683012702	0.05	75.34421013	1	1	0	40	1	1	1	0	0	0	1	1	1
14	7.183012702	0.05	74.47818473	1	1	0	53	1	1	1	0	0	0	1	1	1
15	7.683012702	0.05	73.61215932	1	1	0	53	1	1	1	0	0	0	1	1	1
16	8.183012702	0.05	72.74613392	1	1	0	46	1	1	1	0	0	0	1	1	1
17	8.683012702	0.05	71.88010851	1	1	0	27	1	1	1	0	0	0	1	1	1
18	9.183012702	0.05	71.01408311	1	1	0	27	1	1	1	0	0	0	1	1	1
19	9.683012702	0.05	70.14805771	1	1	0	27	1	1	1	0	0	0	1	1	1
20	10.1830127	0.05	69.2820323	1	1	0	13	1	1	1	0	0	0	1	1	1
21	10.6830127	0.05	68.4160069	1	1	0	16	1	1	1	0	0	0	1	1	1
22	11.1830127	0.05	67.5499815	1	1	0	30	1	1	1	0	0	0	1	1	1
23	11.6830127	0.05	66.68395609	1	1	0	30	1	1	1	0	0	0	1	1	1
24	12.1830127	0.05	65.81793069	1	1	0	55	1	1	1	0	0	0	1	1	1
25	12.6830127	0.05	64.95190528	1	1	0	55	1	1	1	0	0	0	1	1	1
26	13.1830127	0.05	64.08587988	1	1	0	55	1	1	1	0	0	0	1	1	1
27	13.6830127	0.05	63.21985448	1	1	0	33	1	1	1	0	0	0	1	1	1
28	14.1830127	0.05	62.35382907	1	1	0	33	1	1	1	0	0	0	1	1	1
29	14.6830127	0.05	61.48780367	1	1	0	33	1	1	1	0	0	0	1	1	1
30	15.1830127	0.05	60.62177826	1	1	0	25	1	1	1	0	0	0	1	1	1
31	15.6830127	0.05	59.75575286	1	1	0	58	1	1	1	0	0	0	1	1	1
32	16.1830127	0.05	58.88972746	1	1	0	58	1	1	1	0	0	0	1	1	1
33	16.6830127	0.05	58.02370205	1	1	0	47	1	1	1	0	0	0	1	1	1
34	17.1830127	0.05	57.15767665	1	1	0	47	1	1	1	0	0	0	1	1	1
35	17.6830127	0.05	56.29165125	1	1	0	47	1	1	1	0	0	0	1	1	1
36	18.1830127	0.05	55.42562584	1	1	0	16	1	1	1	0	0	0	1	1	1
37	18.6830127	0.05	54.55960044	1	1	0	16	1	1	1	0	0	0	1	1	1
38	19.1830127	0.05	53.69357503	1	1	0	20	1	1	1	0	0	0	1	1	1
39	19.6830127	0.05	52.82754963	1	1	0	20	1	1	1	0	0	0	1	1	1
40	20.1830127	0.05	51.96152423	1	1	0	20	1	1	1	0	0	0	1	1	1
41	20.6830127	0.05	51.09549882	1	1	0	8	1	1	1	0	0	0	1	1	1
42	21.1830127	0.05	50.22947342	1	1	0	8	1	1	1	0	0	0	1	1	1
43	21.6830127	0.05	49.36344802	1	1	0	9	1	1	1	0	0	0	1	1	1
44	22.1830127	0.05	48.49742261	1	1	0	23	1	1	1	0	0	0	1	1	1
45	22.6830127	0.05	47.63139721	1	1	0	23	1	1	1	0	0	0	1	1	1
46	23.1830127	0.05	46.7653718	1	1	0	23	1	1	1	0	0	0	1	1	1
47	23.6830127	0.05	45.8993464	1	1	0	37	1	1	1	0	0	0	1	1	1
48	24.1830127	0.05	45.033321	1	1	0	24	1	1	1	0	0	0	1	1	1
49	24.6830127	0.05	44.16729559	1	1	0	25	1	1	1	0	0	0	1	1	1
50	25.1830127	0.05	43.30127019	1	1	0	25	1	1	1	0	0	0	1	1	1
51	25.6830127	0.05	42.43524479	1	1	0	8	1	1	1	0	0	0	1	1	1
52	26.1830127	0.05	41.56921938	1	1	0	8	1	1	1	0	0	0	1	1	1
53	26.6830127	0.05	40.70319398	1	1	0	7	1	1	1	0	0	0	1	1	1
54	27.1830127	0.05	39.83716857	1	1	0	7	1	1	1	0	0	0	1	1	1
55	27.6830127	0.05	38.97114317	1	1	0	7	1	1	1	0	0	0	1	1	1
56	28.1830127	0.05	38.10511777	1	1	0	38	1	1	1	0	0	0	1	1	1
57	28.6830127	0.05	37.23909236	1	1	0	24	1	1	1	0	0	0	1	1	1
58	29.1830127	0.05	36.37306696	1	1	0	24	1	1	1	0	0	0	1	1	1
59	29.6830127	0.05	35.50704156	1	1	0	48	1	1	1	0	0	0	1	1	1
60	30.1830127	0.05	34.64101615	1	1	0	48	1	1	1	0	0	0	1	1	1
61	30.6830127	0.05	33.77499075	1	1	0	46	1	1	1	0	0	0	1	1	1
62	31.1830127	0.05	32.90896534	1	1	0	46	1	1	1	0	0	0	1	1	1
63	31.6830127	0.05	32.04293994	1	1	0	48	1	1	1	0	0	0	1	1	1
64	32.1830127	0.05	31.17691454	1	1	0	48	1	1	1	0	0	0	1	1	1
65	32.6830127	0.05	30.31088913	1	1	0	49	1	1	1	0	0	0	1	1	1
66	33.1830127	0.05	29.44486373	1	1	0	49	1	1	1	0	0	0	1	1	1
67	33.6830127	0.05	28.57883832	1	1	0	65	1	1	1	0	0	0	1	1	1
68	34.1830127	0.05	27.71281292	1	1	0	58	1	1	1	0	0	0	1	1	1
69	34.6830127	0.05	26.84678752	1	1	0	60	1	1	1	0	0	0	1	1	1
70	35.1830127	0.05	25.98076211	1	1	0	39	1	1	1	0	0	0	1	1	1
71	35.6830127	0.05	25.11473671	1	1	0	39	1	1	1	0	0	0	1	1	1
72	36.1830127	0.05	24.24871131	1	1	0	59	1	1	1	0	0	0	1	1	1
73	36.6830127	0.05	23.3826859	1	1	0	59	1	1	1	0	0	0	1	1	1
74	37.1830127	0.05	22.5166605	1	1	0	64	1	1	1	0	0	0	1	1	1
75	37.6830127	0.05	21.65063509	1	1	0	87	1	1	1	0	0	0	1	1	1
76	38.1830127	0.05	20.78460969	1	1	0	87	1	1	1	0	0	0	1	1	1
77	38.6830127	0.05	19.91858429	1	1	0	99	1	1	1	0	0	0	1	1	1
78	39.1830127	0.05	19.05255888	1	1	0	99	1	1	1	0	0	0	1	1	1
79	39.6830127	0.05	18.18653348	1	1	0	91	1	1	1	0	0	0	1	1	1
80	40.1830127	0.05	17.32050808	1	1	0	98	1	1	1	0	0	0	1	1	1
81	40.6830127	0.05	16.45448267	1	1	0	98	1	1	1	0	0	0	1	1	1
82	41.1830127	0.05	15.58845727	1	1	0	99	1	1	1	0	0	0	1	1	1
83	41.6830127	0.05	14.72243186	1	1	0	99	1	1	1	0	0	0	1	1	1
84	42.1830127	0.05	13.85640646	1	1	0	90	1	1	1	0	0	0	1	1	1
85	42.6830127	0.05	12.99038106	1	1	0	99	1	1	1	0	0	0	1	1	1
86	43.1830127	0.05	12.12435565	1	1	0	99	1	1	1	0	0	0	1	1	1
87	43.6830127	0.05	11.25833025	1	1	0	88	1	1	1	0	0	0	1	1	1
88	44.1830127	0.05	10.39230485	1	1	0	88	1	1	1	0	0	0	1	1	1
89	44.6830127	0.05	9.526279442	1	1	0	88	1	1	1	0	0	0	1	1	1
90	45.1830127	0.05	8.660254038	1	1	0	88	1	1	1	0	0	0	1	1	1
91	45.6830127	0.05	7.794228634	1	1	0	94	1	1	1	0	0	0	1	1	1
92	46.1830127	0.05	6.92820323	1	1	0	94	1	1	1	0	0	0	1	1	1
93	46.6830127	0.05	6.062177826	1	1	0	87	1	1	1	0	0	0	1	1	1
94	47.1830127	0.05	5.196152423	1	1	0	87	1	1	1	0	0	0	1	1	1
95	47.6830127	0.05	4.330127019	1	1	0	87	1	1	1	0	0	0	1	1	1
96	48.1830127	0.05	3.464101615	1	1	0	94	1	1	1	0	0	0	1	1	1
97	48.6830127	0.05	2.598076211	1	1	0	86	1	1	1	0	0	0	1	1	1
98	49.1830127	0.05	1.732050808	1	1	0	92	1	1	1	0	0	0	1	1	1
