cellIndex,x,y,z,vol,P,S,material
1,0.057038782,0.0,0.5,0.004473552,12.049706003262115,1.0,2
2,0.071054976,0.0,0.5,0.006942262,12.132761691457393,1.0,2
3,0.088515382,0.0,0.5,0.010773318,12.215808244592147,1.0,2
4,0.11026635,0.0,0.5,0.016718526,12.29886765096406,1.0,2
5,0.137362204,0.0,0.5,0.02594457,12.381912493240092,1.0,2
6,0.169486032,0.0,0.5,0.036406086,12.460953406227823,1.0,4
7,0.207507629,0.0,0.5,0.054572558,12.537368617920247,1.0,4
8,0.25405879,0.0,0.5,0.081804015,12.613771021338112,1.0,4
9,0.31105299,0.0,0.5,0.122623845,12.690181181611104,1.0,4
10,0.380832967,0.0,0.5,0.183812585,12.766588575651253,1.0,4
11,0.466267014,0.0,0.5,0.275534226,12.842992524416873,1.0,4
12,0.570866881,0.0,0.5,0.413024548,12.919393480297947,1.0,4
13,0.698932127,0.0,0.5,0.619121914,12.995788030314353,1.0,4
14,0.855726851,0.0,0.5,0.928060926,13.072172524664044,1.0,4
15,1.047696071,0.0,0.5,1.391159096,13.14854052342727,1.0,4
16,1.282730647,0.0,0.5,2.08534114,13.2248816038421,1.0,4
17,1.570491632,0.0,0.5,3.125916859,13.301178583241782,1.0,4
18,1.922807389,0.0,0.5,4.685735115,13.377403100740214,1.0,4
19,2.354159794,0.0,0.5,7.023895569,13.453508285939579,1.0,4
20,2.882279507,0.0,0.5,10.52878742,13.52941711184006,1.0,4
21,3.528874795,0.0,0.5,15.78260433,13.605005432007847,1.0,4
22,4.320523837,0.0,0.5,23.65805192,13.68007997377783,1.0,4
23,5.289767224,0.0,0.5,35.46331193,13.754355476973526,1.0,4
24,6.476445528,0.0,0.5,53.15934285,13.827439378743781,1.0,4
25,7.929336944,0.0,0.5,79.6856125,13.898835345376042,1.0,4
26,9.70816231,0.0,0.5,119.4483697,13.967970864474147,1.0,4
27,11.88603992,0.0,0.5,179.0525615,14.034244797393523,1.0,4
28,14.55249103,0.0,0.5,268.3989731,14.097082048283392,1.0,4
29,17.81711963,0.0,0.5,402.3288366,14.155986229032049,1.0,4
30,21.81411768,0.0,0.5,603.0890912,14.210587349030023,1.0,4
31,26.70778107,0.0,0.5,904.0277973,14.260678430112844,1.0,4
32,32.69926292,0.0,0.5,1355.133545,14.306221633455246,1.0,4
33,40.03484202,0.0,0.5,2031.339004,14.34729769821262,1.0,4
34,49.016046,0.0,0.5,3044.967903,14.383987692862203,1.0,4
35,60.01204561,0.0,0.5,4564.393,14.416216175997162,1.0,4
36,73.47482941,0.0,0.5,6842.004292,14.443636538458444,1.0,4
37,89.95778268,0.0,0.5,10256.13323,14.465671869612825,1.0,4
38,110.1384342,0.0,0.5,15373.89694,14.481797247369439,1.0,4
39,134.846306,0.0,0.5,23045.4014,14.492021733866606,1.0,4
40,165.0970106,0.0,0.5,34544.95159,14.497289044944225,1.0,4
41,202.1339977,0.0,0.5,51782.7249,14.499333585625735,1.0,4
42,247.4796659,0.0,0.5,77622.06846,14.499888573816476,1.0,4
43,302.9979407,0.0,0.5,116355.1266,14.499987880894244,1.0,4
44,370.9708906,0.0,0.5,174415.8042,14.499999164943734,1.0,4
45,454.1925313,0.0,0.5,261448.495,14.499999965680168,1.0,4
46,0.057038782,0.0,1.5,0.004473552,11.049728923489205,1.0,2
47,0.071054976,0.0,1.5,0.006942262,11.132824566543611,1.0,2
48,0.088515382,0.0,1.5,0.010773318,11.21591108037921,1.0,2
49,0.11026635,0.0,1.5,0.016718526,11.299010462267326,1.0,2
50,0.137362204,0.0,1.5,0.02594457,11.382095311951776,1.0,2
51,0.169486032,0.0,1.5,0.036406086,11.461174360176013,1.0,4
52,0.207507629,0.0,1.5,0.054572558,11.537626536455091,1.0,4
53,0.25405879,0.0,1.5,0.081804015,11.61406607550552,1.0,4
54,0.31105299,0.0,1.5,0.122623845,11.690513662085598,1.0,4
55,0.380832967,0.0,1.5,0.183812585,11.766958966461171,1.0,4
56,0.466267014,0.0,1.5,0.275534226,11.843401616056179,1.0,4
57,0.570866881,0.0,1.5,0.413024548,11.919842537391771,1.0,4
58,0.698932127,0.0,1.5,0.619121914,11.996279027592465,1.0,4
59,0.855726851,0.0,1.5,0.928060926,12.072708452109895,1.0,4
60,1.047696071,0.0,1.5,1.391159096,12.14912572301553,1.0,4
61,1.282730647,0.0,1.5,2.08534114,12.225522015125938,1.0,4
62,1.570491632,0.0,1.5,3.125916859,12.301881624405306,1.0,4
63,1.922807389,0.0,1.5,4.685735115,12.378176712360855,1.0,4
64,2.354159794,0.0,1.5,7.023895569,12.454358536359123,1.0,4
65,2.882279507,0.0,1.5,10.52878742,12.53034399337656,1.0,4
66,3.528874795,0.0,1.5,15.78260433,12.605997433995235,1.0,4
67,4.320523837,0.0,1.5,23.65805192,12.681109689748283,1.0,4
68,5.289767224,0.0,1.5,35.46331193,12.755379800827807,1.0,4
69,6.476445528,0.0,1.5,53.15934285,12.828406758151935,1.0,4
70,7.929336944,0.0,1.5,79.6856125,12.89969835200078,1.0,4
71,9.70816231,0.0,1.5,119.4483697,12.968697926764122,1.0,4
72,11.88603992,0.0,1.5,179.0525615,13.034825053870305,1.0,4
73,14.55249103,0.0,1.5,268.3989731,13.097522404681873,1.0,4
74,17.81711963,0.0,1.5,402.3288366,13.156304650111583,1.0,4
75,21.81411768,0.0,1.5,603.0890912,13.210806745745513,1.0,4
76,26.70778107,0.0,1.5,904.0277973,13.260822611449054,1.0,4
77,32.69926292,0.0,1.5,1355.133545,13.306312707143919,1.0,4
78,40.03484202,0.0,1.5,2031.339004,13.347354229498027,1.0,4
79,49.016046,0.0,1.5,3044.967903,13.384023561495548,1.0,4
80,60.01204561,0.0,1.5,4564.393,13.416240349693517,1.0,4
81,73.47482941,0.0,1.5,6842.004292,13.443653803434373,1.0,4
82,89.95778268,0.0,1.5,10256.13323,13.465684212883168,1.0,4
83,110.1384342,0.0,1.5,15373.89694,13.481805376538915,1.0,4
84,134.846306,0.0,1.5,23045.4014,13.49202625850456,1.0,4
85,165.0970106,0.0,1.5,34544.95159,13.497290994904269,1.0,4
86,202.1339977,0.0,1.5,51782.7249,13.49933418267337,1.0,4
87,247.4796659,0.0,1.5,77622.06846,13.49988869474049,1.0,4
88,302.9979407,0.0,1.5,116355.1266,13.499987896356062,1.0,4
89,370.9708906,0.0,1.5,174415.8042,13.499999166162803,1.0,4
90,454.1925313,0.0,1.5,261448.495,13.49999996573597,1.0,4
91,0.057038782,0.0,2.5,0.004473552,10.049766063123649,1.0,2
92,0.071054976,0.0,2.5,0.006942262,10.132926452878094,1.0,2
93,0.088515382,0.0,2.5,0.010773318,10.216077741478845,1.0,2
94,0.11026635,0.0,2.5,0.016718526,10.299241969256112,1.0,2
95,0.137362204,0.0,2.5,0.02594457,10.382391817644292,1.0,2
96,0.169486032,0.0,2.5,0.036406086,10.461533012461517,1.0,4
97,0.207507629,0.0,2.5,0.054572558,10.538045734133883,1.0,4
98,0.25405879,0.0,2.5,0.081804015,10.614546624358884,1.0,4
99,0.31105299,0.0,2.5,0.122623845,10.691056916618336,1.0,4
100,0.380832967,0.0,2.5,0.183812585,10.767567148895207,1.0,4
101,0.466267014,0.0,2.5,0.275534226,10.84407828393448,1.0,4
102,0.570866881,0.0,2.5,0.413024548,10.920593233944254,1.0,4
103,0.698932127,0.0,2.5,0.619121914,10.997112116678757,1.0,4
