index	Kh	Kz	Ss	phi	alpha	N
1	0.009347203	0.009347203	3.05E-05	0.25	0.276284403	1.136489756
2	0.015494	0.015494	3.05E-05	0.25	0.305654497	1.211028584
3	0.021351481	0.021351481	3.05E-05	0.25	0.325889041	1.260839881
4	0.026632709	0.026632709	3.05E-05	0.25	0.34061018	1.296359767
5	0.033254188	0.033254188	3.05E-05	0.25	0.356069015	1.333051483
6	0.039734868	0.039734868	3.05E-05	0.25	0.368970407	1.363222446
7	0.045275758	0.045275758	3.05E-05	0.25	0.378725596	1.385776393
8	0.050520445	0.050520445	3.05E-05	0.25	0.387115164	1.405001083
9	0.056841667	0.056841667	3.05E-05	0.25	0.396346469	1.425976782
10	0.061932698	0.061932698	3.05E-05	0.25	0.403201284	1.441435391
11	0.071071791	0.071071791	3.05E-05	0.25	0.414449271	1.466591562
12	0.076237682	0.076237682	3.05E-05	0.25	0.420303318	1.479583795
13	0.081874919	0.081874919	3.05E-05	0.25	0.42633988	1.492910946
14	0.088960493	0.088960493	3.05E-05	0.25	0.433472564	1.508568108
15	0.094562004	0.094562004	3.05E-05	0.25	0.438796202	1.520191926
16	0.097958921	0.097958921	3.05E-05	0.25	0.441902839	1.526950879
17	0.10540925	0.10540925	3.05E-05	0.25	0.448425762	1.541085351
18	0.116925487	0.116925487	3.05E-05	0.25	0.457817241	1.561302378
19	0.131393587	0.131393587	3.05E-05	0.25	0.468619195	1.584366348
20	0.146033596	0.146033596	3.05E-05	0.25	0.478620403	1.605545253
21	0.153593608	0.153593608	3.05E-05	0.25	0.483473961	1.615764048
22	0.163333402	0.163333402	3.05E-05	0.25	0.489452772	1.628299783
23	0.179055317	0.179055317	3.05E-05	0.25	0.498527642	1.647218951
24	0.191603478	0.191603478	3.05E-05	0.25	0.505323546	1.661303356
25	0.198051408	0.198051408	3.05E-05	0.25	0.508678061	1.668229601
26	0.209849319	0.209849319	3.05E-05	0.25	0.514596016	1.680407523
27	0.223509915	0.223509915	3.05E-05	0.25	0.521124543	1.693781728
28	0.233351338	0.233351338	3.05E-05	0.25	0.525632677	1.702980718
29	0.246163648	0.246163648	3.05E-05	0.25	0.531279134	1.714461287
30	0.259701904	0.259701904	3.05E-05	0.25	0.536995538	1.726038031
31	0.270354148	0.270354148	3.05E-05	0.25	0.541328026	1.734781648
32	0.280295583	0.280295583	3.05E-05	0.25	0.545249891	1.742674192
33	0.292197254	0.292197254	3.05E-05	0.25	0.549801292	1.751807277
34	0.304944248	0.304944248	3.05E-05	0.25	0.554514319	1.761235159
35	0.322051632	0.322051632	3.05E-05	0.25	0.560597822	1.77336067
36	0.341032008	0.341032008	3.05E-05	0.25	0.567051948	1.786171625
37	0.369834468	0.369834468	3.05E-05	0.25	0.576317456	1.804468747
38	0.391793488	0.391793488	3.05E-05	0.25	0.583000913	1.817599222
39	0.405791041	0.405791041	3.05E-05	0.25	0.587106324	1.825637109
40	0.430208203	0.430208203	3.05E-05	0.25	0.594004134	1.839095355
41	0.458688764	0.458688764	3.05E-05	0.25	0.601664748	1.853974096
42	0.485711622	0.485711622	3.05E-05	0.25	0.608589085	1.867362415
43	0.518413419	0.518413419	3.05E-05	0.25	0.616567853	1.88271958
44	0.538941512	0.538941512	3.05E-05	0.25	0.621372847	1.891932424
45	0.561377553	0.561377553	3.05E-05	0.25	0.626459762	1.901657039
46	0.593662699	0.593662699	3.05E-05	0.25	0.633501571	1.91507058
47	0.633821687	0.633821687	3.05E-05	0.25	0.641845233	1.930892521
48	0.683364803	0.683364803	3.05E-05	0.25	0.651574612	1.949246078
49	0.735710167	0.735710167	3.05E-05	0.25	0.661259278	1.967414537
50	0.771563947	0.771563947	3.05E-05	0.25	0.667579122	1.979217342
51	0.811892288	0.811892288	3.05E-05	0.25	0.674412842	1.991933279
52	0.836800517	0.836800517	3.05E-05	0.25	0.678499018	1.999513839
53	0.862251373	0.862251373	3.05E-05	0.25	0.682574899	2.007058435
54	0.907731929	0.907731929	3.05E-05	0.25	0.689624726	2.020068555
55	0.942958034	0.942958034	3.05E-05	0.25	0.694893296	2.029759238
56	0.993740618	0.993740618	3.05E-05	0.25	0.702218035	2.043186723
57	1.042096388	1.042096388	3.05E-05	0.25	0.708919439	2.055426059
58	1.094661937	1.094661937	3.05E-05	0.25	0.715927712	2.068180003
59	1.183730358	1.183730358	3.05E-05	0.25	0.727210816	2.088616534
60	1.271206659	1.271206659	3.05E-05	0.25	0.737649255	2.107418595
61	1.336699353	1.336699353	3.05E-05	0.25	0.745094302	2.120768564
62	1.415105566	1.415105566	3.05E-05	0.25	0.753632791	2.13601842
63	1.490771836	1.490771836	3.05E-05	0.25	0.76152119	2.150050307
64	1.554782359	1.554782359	3.05E-05	0.25	0.767948068	2.161442595
65	1.63201805	1.63201805	3.05E-05	0.25	0.775426818	2.17465498
66	1.727600704	1.727600704	3.05E-05	0.25	0.784299662	2.19026906
67	1.832656781	1.832656781	3.05E-05	0.25	0.793609791	2.206582327
68	1.988814062	1.988814062	3.05E-05	0.25	0.806688889	2.229380126
69	2.057632895	2.057632895	3.05E-05	0.25	0.812193183	2.238933429
70	2.124663129	2.124663129	3.05E-05	0.25	0.81741459	2.247973564
71	2.222467545	2.222467545	3.05E-05	0.25	0.82480161	2.260726628
72	2.375291277	2.375291277	3.05E-05	0.25	0.835839519	2.279703928
73	2.481960805	2.481960805	3.05E-05	0.25	0.843211658	2.292326937
74	2.61515523	2.61515523	3.05E-05	0.25	0.852069152	2.307439213
75	2.830092009	2.830092009	3.05E-05	0.25	0.865629461	2.330462754
76	3.019332414	3.019332414	3.05E-05	0.25	0.876902469	2.349501033
77	3.277694167	3.277694167	3.05E-05	0.25	0.891413541	2.373874678
78	3.490087372	3.490087372	3.05E-05	0.25	0.902672214	2.392684076
79	3.661381743	3.661381743	3.05E-05	0.25	0.911359523	2.407138142
80	3.876044653	3.876044653	3.05E-05	0.25	0.921798535	2.424439243
81	4.136116424	4.136116424	3.05E-05	0.25	0.933843262	2.44431147
82	4.528155425	4.528155425	3.05E-05	0.25	0.950902022	2.472294183
83	4.810219685	4.810219685	3.05E-05	0.25	0.962458171	2.491144764
84	5.192593087	5.192593087	3.05E-05	0.25	0.977287666	2.515212263
85	5.616007468	5.616007468	3.05E-05	0.25	0.992722101	2.54011802
86	6.091779133	6.091779133	3.05E-05	0.25	1.008991374	2.566215808
87	6.63927497	6.63927497	3.05E-05	0.25	1.02650015	2.594128009
88	7.213558602	7.213558602	3.05E-05	0.25	1.043665184	2.621321181
89	7.888098722	7.888098722	3.05E-05	0.25	1.062482702	2.650942204
90	8.885382907	8.885382907	3.05E-05	0.25	1.088071563	2.690911584
91	10.35021571	10.35021571	3.05E-05	0.25	1.121774293	2.743026329
92	12.40889985	12.40889985	3.05E-05	0.25	1.163199965	2.806293625
93	15.47780218	15.47780218	3.05E-05	0.25	1.215737983	2.88534198
94	18.78709451	18.78709451	3.05E-05	0.25	1.26375136	2.956480308
95	23.32409515	23.32409515	3.05E-05	0.25	1.319596875	3.037972935
96	27.1049303	27.1049303	3.05E-05	0.25	1.359826349	3.095886334
97	31.41220219	31.41220219	3.05E-05	0.25	1.400512744	3.153814194
