cellStart	numCellStart	stepCellStart	numPopulate	stepPopulate	del1	del2	A	zConnect
1	5	45	1	1	0.006241261	0.007774932	0.39760024	false
2	5	45	1	1	0.007774932	0.009685474	0.495302921	false
3	5	45	1	1	0.009685474	0.012065494	0.617014173	false
4	5	45	1	1	0.012065494	0.015030359	0.768633645	false
5	5	45	1	1	0.015030359	0.017093469	0.957510713	false
6	5	45	1	1	0.017093469	0.020928128	1.172313584	false
7	5	45	1	1	0.020928128	0.025623033	1.435304192	false
8	5	45	1	1	0.025623033	0.031371168	1.757292716	false
9	5	45	1	1	0.031371168	0.038408809	2.151514438	false
10	5	45	1	1	0.038408809	0.047025237	2.634173767	false
11	5	45	1	1	0.047025237	0.05757463	3.22511033	false
12	5	45	1	1	0.05757463	0.070490617	3.948614464	false
13	5	45	1	1	0.070490617	0.086304107	4.834425676	false
14	5	45	1	1	0.086304107	0.105665113	5.918955074	false
15	5	45	1	1	0.105665113	0.129369463	7.246782041	false
16	5	45	1	1	0.129369463	0.158391522	8.872486662	false
17	5	45	1	1	0.158391522	0.193924235	10.86289323	false
18	5	45	1	1	0.193924235	0.237428169	13.29981704	false
19	5	45	1	1	0.237428169	0.290691544	16.28342741	false
20	5	45	1	1	0.290691544	0.355903743	19.93636509	false
21	5	45	1	1	0.355903743	0.435745299	24.40878343	false
22	5	45	1	1	0.435745299	0.533498087	29.88452036	false
23	5	45	1	1	0.533498087	0.653180217	36.58865504	false
24	5	45	1	1	0.653180217	0.7997112	44.79675972	false
25	5	45	1	1	0.7997112	0.979114166	54.84622704	false
26	5	45	1	1	0.979114166	1.198763441	67.15013853	false
27	5	45	1	1	1.198763441	1.467687669	82.21424421	false
28	5	45	1	1	1.467687669	1.796940932	100.6577514	false
29	5	45	1	1	1.796940932	2.200057123	123.2387771	false
30	5	45	1	1	2.200057123	2.693606261	150.8855103	false
31	5	45	1	1	2.693606261	3.297875594	184.7343649	false
32	5	45	1	1	3.297875594	4.037703502	226.1766918	false
33	5	45	1	1	4.037703502	4.943500475	276.9159705	false
34	5	45	1	1	4.943500475	6.052499135	339.0378296	false
35	5	45	1	1	6.052499135	7.410284668	415.0957768	false
36	5	45	1	1	7.410284668	9.072668601	508.2161603	false
37	5	45	1	1	9.072668601	11.10798292	622.2266764	false
38	5	45	1	1	11.10798292	13.59988886	761.8137066	false
39	5	45	1	1	13.59988886	16.65081574	932.7149503	false
40	5	45	1	1	16.65081574	20.38617137	1141.955272	false
41	5	45	1	1	20.38617137	24.95949686	1398.135457	false
42	5	45	1	1	24.95949686	30.55877791	1711.785745	false
43	5	45	1	1	30.55877791	37.41417196	2095.798673	false
44	5	45	1	1	37.41417196	45.80746873	2565.959025	false
226	3	45	1	1	0.006241261	0.007774932	0.39760024	false
227	3	45	1	1	0.007774932	0.009685474	0.495302921	false
228	3	45	1	1	0.009685474	0.012065494	0.617014173	false
229	3	45	1	1	0.012065494	0.015030359	0.768633645	false
230	3	45	1	1	0.015030359	0.017093469	0.957510713	false
231	3	45	1	1	0.017093469	0.020928128	1.172313584	false
232	3	45	1	1	0.020928128	0.025623033	1.435304192	false
233	3	45	1	1	0.025623033	0.031371168	1.757292716	false
234	3	45	1	1	0.031371168	0.038408809	2.151514438	false
235	3	45	1	1	0.038408809	0.047025237	2.634173767	false
236	3	45	1	1	0.047025237	0.05757463	3.22511033	false
237	3	45	1	1	0.05757463	0.070490617	3.948614464	false
238	3	45	1	1	0.070490617	0.086304107	4.834425676	false
239	3	45	1	1	0.086304107	0.105665113	5.918955074	false
240	3	45	1	1	0.105665113	0.129369463	7.246782041	false
241	3	45	1	1	0.129369463	0.158391522	8.872486662	false
242	3	45	1	1	0.158391522	0.193924235	10.86289323	false
243	3	45	1	1	0.193924235	0.237428169	13.29981704	false
244	3	45	1	1	0.237428169	0.290691544	16.28342741	false
245	3	45	1	1	0.290691544	0.355903743	19.93636509	false
246	3	45	1	1	0.355903743	0.435745299	24.40878343	false
247	3	45	1	1	0.435745299	0.533498087	29.88452036	false
248	3	45	1	1	0.533498087	0.653180217	36.58865504	false
249	3	45	1	1	0.653180217	0.7997112	44.79675972	false
250	3	45	1	1	0.7997112	0.979114166	54.84622704	false
251	3	45	1	1	0.979114166	1.198763441	67.15013853	false
252	3	45	1	1	1.198763441	1.467687669	82.21424421	false
253	3	45	1	1	1.467687669	1.796940932	100.6577514	false
254	3	45	1	1	1.796940932	2.200057123	123.2387771	false
255	3	45	1	1	2.200057123	2.693606261	150.8855103	false
256	3	45	1	1	2.693606261	3.297875594	184.7343649	false
257	3	45	1	1	3.297875594	4.037703502	226.1766918	false
258	3	45	1	1	4.037703502	4.943500475	276.9159705	false
259	3	45	1	1	4.943500475	6.052499135	339.0378296	false
260	3	45	1	1	6.052499135	7.410284668	415.0957768	false
261	3	45	1	1	7.410284668	9.072668601	508.2161603	false
262	3	45	1	1	9.072668601	11.10798292	622.2266764	false
