cellIndex,x,y,z,vol,b,h0,material
1,0,0,0.875,0.054977871,1.75,20,1
2,0.106166202,0,0.875,0.014396334,0,20,2
3,0.119259046,0,0.875,0.018166113,0,20,2
4,0.133966552,0,0.875,0.022923035,0,20,2
5,0.150487848,0,0.875,0.028925589,0,20,2
6,0.169046616,0,0.875,0.036499954,0,20,2
7,0.189894127,0,0.875,0.046057718,0,20,2
8,0.213312636,0,0.875,0.058118249,0,20,2
9,0.239619211,0,0.875,0.073336913,0,20,2
10,0.269170018,0,0.875,0.092540688,0,20,2
11,0.30236515,0,0.875,0.116773104,0,20,2
12,0.33965404,0,0.875,0.147350945,0,20,2
13,0.381541546,0,0.875,0.185935804,0,20,2
14,0.428594788,0,0.875,0.234624374,0,20,2
15,0.481450826,0,0.875,0.296062382,0,20,2
16,0.540825284,0,0.875,0.373588354,0,20,2
17,0.607522039,0,0.875,0.471415036,0,20,2
18,0.682444107,0,0.875,0.594858308,0,20,2
19,0.766605866,0,0.875,0.750626051,0,20,2
20,0.861146793,0,0.875,0.947182649,0,20,2
21,0.967346889,0,0.875,1.195208945,0,20,2
22,1.086644009,0,0.875,1.508182634,0,20,2
23,1.22065333,0,0.875,1.903110637,0,20,2
24,1.371189222,0,0.875,2.401453257,0,20,2
25,1.540289807,0,0.875,3.030290321,0,20,2
26,1.730244557,0,0.875,3.8237927,0,20,2
27,1.943625294,0,0.875,4.825079137,0,20,2
28,2.183321004,0,0.875,6.088559321,0,20,2
29,2.452576956,0,0.875,7.682890487,0,20,2
30,2.755038637,0,0.875,9.694708243,0,20,2
31,3.094801113,0,0.875,12.23333433,0,20,2
32,3.476464467,0,0.875,15.43671712,0,20,2
33,3.905196086,0,0.875,19.47892775,0,20,2
34,4.386800617,0,0.875,24.57961906,0,20,2
35,4.927798561,0,0.875,31.01596149,0,20,2
36,5.535514553,0,0.875,39.13770449,0,20,2
37,6.218176532,0,0.875,49.3861818,0,20,2
38,6.98502714,0,0.875,62.31829344,0,20,2
39,7.846448857,0,0.875,78.63676751,0,20,2
40,8.814104575,0,0.875,99.22834635,0,20,2
41,9.901095498,0,0.875,125.2119718,0,20,2
42,11.12213853,0,0.875,157.9995885,0,20,2
43,12.4937655,0,0.875,199.3728683,0,20,2
44,14.03454705,0,0.875,251.5800261,0,20,2
45,15.765344,0,0.875,317.4579876,0,20,2
46,17.7095898,0,0.875,400.5865467,0,20,2
47,19.89360784,0,0.875,505.4828913,0,20,2
48,22.34696779,0,0.875,637.8470656,0,20,2
49,25.10288598,0,0.875,804.8717101,0,20,2
50,28.19867512,0,0.875,1015.632907,0,20,2
51,31.67624946,0,0.875,1281.583375,0,20,2
52,35.58269229,0,0.875,1617.174803,0,20,2
53,39.97089341,0,0.875,2040.643156,0,20,2
54,44.90026518,0,0.875,2574.999612,0,20,2
55,50.43754697,0,0.875,3249.280985,0,20,2
56,56.65770867,0,0.875,4100.127575,0,20,2
57,63.6449658,0,0.875,5173.774203,0,20,2
58,71.49391967,0,0.875,6528.562589,0,20,2
59,80.31083817,0,0.875,8238.111639,0,20,2
60,90.21509463,0,0.875,10395.31788,0,20,2
61,101.3407839,0,0.875,13117.40341,0,20,2
62,113.8385381,0,0.875,16552.28578,0,20,2
63,127.8775657,0,0.875,20886.61575,0,20,2
64,143.6479429,0,0.875,26355.91985,0,20,2
65,161.3631865,0,0.875,33257.39887,0,20,2
66,181.2631455,0,0.875,41966.07767,0,20,2
67,203.6172476,0,0.875,52955.18397,0,20,2
68,228.7281477,0,0.875,66821.86338,0,20,2
69,256.9358254,0,0.875,84319.62825,0,20,2
70,288.6221876,0,0.875,106399.3033,0,20,2
71,324.2162398,0,0.875,134260.6932,0,20,2
72,364.199894,0,0.875,169417.7798,0,20,2
73,409.1144937,0,0.875,213780.9916,0,20,2
74,459.5681431,0,0.875,269761.0157,0,20,2
75,516.2439399,0,0.875,340399.7945,0,20,2
76,579.9092246,0,0.875,429535.8237,0,20,2
77,651.4259689,0,0.875,542012.7356,0,20,2
78,731.7624466,0,0.875,683942.5011,0,20,2
79,822.0063426,0,0.875,863037.5527,0,20,2
80,923.37948,0,0.875,1089029.876,0,20,2
81,1037.254361,0,0.875,1374199.845,0,20,2
82,1165.172752,0,0.875,1734043.533,0,20,2
83,1308.866555,0,0.875,2188114.768,0,20,2
84,1470.281258,0,0.875,2761087.681,0,20,2
85,1651.602272,0,0.875,3484097.495,0,20,2
86,1855.284525,0,0.875,4396432.405,0,20,2
87,2084.085695,0,0.875,5547668.492,0,20,2
88,2341.103548,0,0.875,7000363.671,0,20,2
89,2629.817879,0,0.875,8833457.082,0,20,2
90,2954.137626,0,0.875,11146558.62,0,20,2
91,3318.453792,0,0.875,14065361.72,0,20,2
92,3727.698897,0,0.875,17748473.5,0,20,2
93,4187.413759,0,0.875,22396033.45,0,20,2
94,4703.822511,0,0.875,28260588.96,0,20,2
95,5283.916873,0,0.875,35660818.69,0,20,2
96,5935.550812,0,0.875,44998849.52,0,20,2
97,6667.546876,0,0.875,56782108,0,20,2
98,7489.815647,0,0.875,71650893.82,0,20,2
99,8413.489919,0,0.875,90413173.54,0,20,2
100,9451.075427,0,0.875,114088485.4,0,20,2
101,0,0,2.625,0.054977871,1.75,20,1
102,0.106166202,0,2.625,0.014396334,0,20,2
103,0.119259046,0,2.625,0.018166113,0,20,2
104,0.133966552,0,2.625,0.022923035,0,20,2
105,0.150487848,0,2.625,0.028925589,0,20,2
106,0.169046616,0,2.625,0.036499954,0,20,2
107,0.189894127,0,2.625,0.046057718,0,20,2
108,0.213312636,0,2.625,0.058118249,0,20,2
109,0.239619211,0,2.625,0.073336913,0,20,2
110,0.269170018,0,2.625,0.092540688,0,20,2
111,0.30236515,0,2.625,0.116773104,0,20,2
112,0.33965404,0,2.625,0.147350945,0,20,2
113,0.381541546,0,2.625,0.185935804,0,20,2
114,0.428594788,0,2.625,0.234624374,0,20,2
115,0.481450826,0,2.625,0.296062382,0,20,2
116,0.540825284,0,2.625,0.373588354,0,20,2
117,0.607522039,0,2.625,0.471415036,0,20,2
118,0.682444107,0,2.625,0.594858308,0,20,2
119,0.766605866,0,2.625,0.750626051,0,20,2
120,0.861146793,0,2.625,0.947182649,0,20,2
121,0.967346889,0,2.625,1.195208945,0,20,2
122,1.086644009,0,2.625,1.508182634,0,20,2
123,1.22065333,0,2.625,1.903110637,0,20,2
124,1.371189222,0,2.625,2.401453257,0,20,2
125,1.540289807,0,2.625,3.030290321,0,20,2
126,1.730244557,0,2.625,3.8237927,0,20,2
127,1.943625294,0,2.625,4.825079137,0,20,2
128,2.183321004,0,2.625,6.088559321,0,20,2
129,2.452576956,0,2.625,7.682890487,0,20,2
130,2.755038637,0,2.625,9.694708243,0,20,2
131,3.094801113,0,2.625,12.23333433,0,20,2
132,3.476464467,0,2.625,15.43671712,0,20,2
133,3.905196086,0,2.625,19.47892775,0,20,2
134,4.386800617,0,2.625,24.57961906,0,20,2
135,4.927798561,0,2.625,31.01596149,0,20,2
136,5.535514553,0,2.625,39.13770449,0,20,2
137,6.218176532,0,2.625,49.3861818,0,20,2
138,6.98502714,0,2.625,62.31829344,0,20,2
139,7.846448857,0,2.625,78.63676751,0,20,2
140,8.814104575,0,2.625,99.22834635,0,20,2
141,9.901095498,0,2.625,125.2119718,0,20,2
142,11.12213853,0,2.625,157.9995885,0,20,2
143,12.4937655,0,2.625,199.3728683,0,20,2
144,14.03454705,0,2.625,251.5800261,0,20,2
145,15.765344,0,2.625,317.4579876,0,20,2
146,17.7095898,0,2.625,400.5865467,0,20,2
147,19.89360784,0,2.625,505.4828913,0,20,2
148,22.34696779,0,2.625,637.8470656,0,20,2
149,25.10288598,0,2.625,804.8717101,0,20,2
150,28.19867512,0,2.625,1015.632907,0,20,2
151,31.67624946,0,2.625,1281.583375,0,20,2
152,35.58269229,0,2.625,1617.174803,0,20,2
153,39.97089341,0,2.625,2040.643156,0,20,2
154,44.90026518,0,2.625,2574.999612,0,20,2
155,50.43754697,0,2.625,3249.280985,0,20,2
156,56.65770867,0,2.625,4100.127575,0,20,2
157,63.6449658,0,2.625,5173.774203,0,20,2
158,71.49391967,0,2.625,6528.562589,0,20,2
159,80.31083817,0,2.625,8238.111639,0,20,2
160,90.21509463,0,2.625,10395.31788,0,20,2
161,101.3407839,0,2.625,13117.40341,0,20,2
162,113.8385381,0,2.625,16552.28578,0,20,2
163,127.8775657,0,2.625,20886.61575,0,20,2
164,143.6479429,0,2.625,26355.91985,0,20,2
165,161.3631865,0,2.625,33257.39887,0,20,2
166,181.2631455,0,2.625,41966.07767,0,20,2
167,203.6172476,0,2.625,52955.18397,0,20,2
168,228.7281477,0,2.625,66821.86338,0,20,2
169,256.9358254,0,2.625,84319.62825,0,20,2
170,288.6221876,0,2.625,106399.3033,0,20,2
171,324.2162398,0,2.625,134260.6932,0,20,2
172,364.199894,0,2.625,169417.7798,0,20,2
173,409.1144937,0,2.625,213780.9916,0,20,2
174,459.5681431,0,2.625,269761.0157,0,20,2
175,516.2439399,0,2.625,340399.7945,0,20,2
176,579.9092246,0,2.625,429535.8237,0,20,2
177,651.4259689,0,2.625,542012.7356,0,20,2
178,731.7624466,0,2.625,683942.5011,0,20,2
179,822.0063426,0,2.625,863037.5527,0,20,2
180,923.37948,0,2.625,1089029.876,0,20,2
181,1037.254361,0,2.625,1374199.845,0,20,2
182,1165.172752,0,2.625,1734043.533,0,20,2
183,1308.866555,0,2.625,2188114.768,0,20,2
184,1470.281258,0,2.625,2761087.681,0,20,2
185,1651.602272,0,2.625,3484097.495,0,20,2
186,1855.284525,0,2.625,4396432.405,0,20,2
187,2084.085695,0,2.625,5547668.492,0,20,2
188,2341.103548,0,2.625,7000363.671,0,20,2
189,2629.817879,0,2.625,8833457.082,0,20,2
190,2954.137626,0,2.625,11146558.62,0,20,2
191,3318.453792,0,2.625,14065361.72,0,20,2
192,3727.698897,0,2.625,17748473.5,0,20,2
193,4187.413759,0,2.625,22396033.45,0,20,2
194,4703.822511,0,2.625,28260588.96,0,20,2
195,5283.916873,0,2.625,35660818.69,0,20,2
196,5935.550812,0,2.625,44998849.52,0,20,2
197,6667.546876,0,2.625,56782108,0,20,2
198,7489.815647,0,2.625,71650893.82,0,20,2
199,8413.489919,0,2.625,90413173.54,0,20,2
200,9451.075427,0,2.625,114088485.4,0,20,2
201,0,0,4.375,0.054977871,1.75,20,1
202,0.106166202,0,4.375,0.014396334,0,20,2
203,0.119259046,0,4.375,0.018166113,0,20,2
204,0.133966552,0,4.375,0.022923035,0,20,2
205,0.150487848,0,4.375,0.028925589,0,20,2
206,0.169046616,0,4.375,0.036499954,0,20,2
207,0.189894127,0,4.375,0.046057718,0,20,2
208,0.213312636,0,4.375,0.058118249,0,20,2
209,0.239619211,0,4.375,0.073336913,0,20,2
210,0.269170018,0,4.375,0.092540688,0,20,2
211,0.30236515,0,4.375,0.116773104,0,20,2
212,0.33965404,0,4.375,0.147350945,0,20,2
213,0.381541546,0,4.375,0.185935804,0,20,2
214,0.428594788,0,4.375,0.234624374,0,20,2
215,0.481450826,0,4.375,0.296062382,0,20,2
216,0.540825284,0,4.375,0.373588354,0,20,2
217,0.607522039,0,4.375,0.471415036,0,20,2
218,0.682444107,0,4.375,0.594858308,0,20,2
219,0.766605866,0,4.375,0.750626051,0,20,2
220,0.861146793,0,4.375,0.947182649,0,20,2
221,0.967346889,0,4.375,1.195208945,0,20,2
222,1.086644009,0,4.375,1.508182634,0,20,2
223,1.22065333,0,4.375,1.903110637,0,20,2
224,1.371189222,0,4.375,2.401453257,0,20,2
