cellStart	numCellStart	stepCellStart	boundaryCell	del1	del2	A	zConnect
1	1	0	676	0.006241261	0.050797521	0.319170238	false
46	1	0	676	0.006241261	0.050797521	0.319170238	false
91	1	0	676	0.006241261	0.050797521	0.319170238	false
136	1	0	676	0.006241261	0.050797521	0.319170238	false
181	1	0	676	0.006241261	0.050797521	0.319170238	false
226	1	0	676	0.006241261	0.050797521	0.319170238	false
271	1	0	676	0.006241261	0.050797521	0.319170238	false
316	1	0	676	0.006241261	0.050797521	0.319170238	false
361	1	0	676	0.006241261	0.050797521	0.319170238	false
406	1	0	676	0.006241261	0.050797521	0.319170238	false
451	1	0	676	0.006241261	0.050797521	0.319170238	false
496	1	0	676	0.006241261	0.050797521	0.319170238	false
541	1	0	676	0.006241261	0.050797521	0.319170238	false
586	1	0	676	0.006241261	0.050797521	0.319170238	false
631	1	0	676	0.006241261	0.050797521	0.319170238	false
45	5	45	677	45.80746873	0.001	3141.592654	false
270	3	45	677	45.80746873	0.001	3141.592654	false
405	2	45	677	45.80746873	0.001	3141.592654	false
495	5	45	677	45.80746873	0.001	3141.592654	false
